,0
0,TNN
1,IDH1
2,ERICH2
3,CGA
4,GLDC
5,GJB1
6,ADRA2A
7,PPP1R2
8,KCNMB4
9,PAPSS1
10,CD302
11,MYOM2
12,ZIC2
13,NMUR2
14,LOC100506974
15,ANO3
16,LOC100130458
17,SLC1A1
18,COPZ2
19,SDC2
20,IER5
21,BLOC1S2
22,RIPPLY3
23,CRISP2
24,ZNF204P
25,LACRT
26,PCLO
27,ID4
28,TSIX
29,IL22RA2
30,FAM50B
31,HDC
32,TRIM16
33,RHOBTB3
34,SLIT2
35,TIMP4
36,PLA2G3
37,MAP2
38,PCDHB5
39,NUDT8
40,MAPK10
41,CXORF57
42,TARP
43,MITF
44,ZNF503
45,ARC
46,APOF
47,TMEM45B
48,ANK2
49,LOC153682
50,GP2
51,TNNI3K
52,DNALI1
53,QRSL1
54,LINCR-0001
55,DDO
56,FAM135A
57,CADM1
58,IL17RB
59,TSPAN5
60,IRS1
61,LOC100507291
62,CD97
63,HOXB13
64,PCDHB2
65,LGALSL
66,TENM3
67,CECR7
68,SMARCD3
69,PCDHB16
70,MPC2
71,NFE2L3
72,LOC100506388
73,ANTXR1
74,NHS
75,PDE4D
76,LNPEP
77,GRIK1-AS1
78,NCALD
79,AKR1C3
80,ANXA8
81,SRGAP2D
82,KIF26B
83,SIX1
84,AMPD1
85,KIF26A
86,CLIC6
87,DCAF6
88,PLEKHS1
89,PCDH19
90,SLC1A4
91,AMY2B
92,HBEGF
93,HS6ST3
94,AMY1A
95,STK32B
96,PARM1
97,SLC10A7
98,SEMA6A
99,EVA1C
100,ENDOD1
101,AGT
102,SPATA6L
103,COTL1
104,IFI27
105,HS6ST2
106,CXCR1
107,SSTR2
108,RIMS4
109,CPLX3
110,BHLHE41
111,HSPB8
112,MMP9
113,CHI3L2
114,PNMAL1
115,LOC100507642
116,OTOR
117,LRRC36
118,NPY1R
119,FLRT3
120,MATN2
121,GCNT1
122,ZCCHC11
123,BMX
124,GAD1
125,GGACT
126,PSCA
127,MAGEC2
128,NR2F2
129,PAK1
130,SH3BGRL2
131,ATP2A3
132,CCDC127
133,GLRX
134,PPP2R5C
135,SCGB2A1
136,RAB26
137,CSTA
138,THNSL1
139,MAGEA3
140,ALKBH3
141,POU2AF1
142,RASSF5
143,AIM1
144,FKBP1B
145,APOD
146,AFF3
147,GZMA
148,S100P
149,ARHGEF26-AS1
150,CTSS
151,HOXC10
152,VNN2
153,ACE2
154,KCND2
155,ACKR2
156,TBX1
157,SCUBE2
158,FBLN1
159,BCHE
160,LINC00472
161,LCN2
162,CNR1
163,MAEL
164,SMYD3
165,MN1
166,AATK
167,GLRB
168,CCRL2
169,PDZK1
170,SPTLC3
171,MYBL1
172,RARRES1
173,KCNJ8
174,HIST1H2AG
175,CEACAM1
176,KIAA1456
177,ALDH2
178,CLTCL1
179,ATHL1
180,CD55
181,NRBP2
182,ATP8B4
183,SRD5A3
184,NLRC5
185,HS3ST1
186,SCD5
187,VEGFC
188,TMEM98
189,ARHGAP6
190,PMP22
191,TRGC2
192,CHST8
193,TMSB15A
194,C21ORF119
195,GPC3
196,HCG17
197,DEGS1
198,SERPINA6
199,FOLR1
200,TENM2
201,GLIPR2
202,BEND5
203,EYA1
204,GABRB3
205,MMP26
206,ZNF397
207,ALDH3B2
208,TMPO
209,BAMBI
210,MEIS1
211,NDP
212,CHDH
213,MSANTD4
214,GALNT16
215,KLHL35
216,PPM1L
217,CRMP1
218,PTK6
219,GM2A
220,LCP1
221,CHRNA9
222,HENMT1
223,PPP2R2C
224,CDX1
225,TM4SF18
226,DIO1
227,NOX5
228,HMGCS2
229,GSTP1
230,NFIX
231,PLCE1
232,GUCY2D
233,BBS12
234,CTSZ
235,WT1-AS
236,PEG3
237,ANO2
238,SCGB1D1
239,SLC16A6
240,ZNF671
241,MUC15
242,HCG4
243,FZD6
244,P2RY14
245,LYPD6
246,DCD
247,EGFLAM
248,CTNND2
249,DTX1
250,MARCKS
251,RET
252,LRRC49
253,CLDN11
254,HMGB2
255,TEKT3
256,FZD3
257,PRAME
258,FGFBP1
259,ZMYND12
260,ACSS3
261,GSTT1
262,MMP10
263,COL23A1
264,UBE3C
265,MOXD1
266,C3ORF14
267,FBXW10
268,SAA2-SAA4
269,ZC3H12B
270,FUT3
271,PRSS21
272,C9ORF24
273,PTGER3
274,PRELP
275,NMNAT2
276,SCML2
277,ATP13A3
278,PDLIM3
279,STMN2
280,TSPAN6
281,MRPL57
282,STEAP2
283,RGS5
284,ELFN2
285,ISG15
286,BACE2
287,IL1R2
288,ABCA12
289,FUBP1
290,RNF180
291,SFSWAP
292,FAM149A
293,ZDHHC11
294,MGLL
295,LRP2
296,CD52
297,CDCA7
298,BMP7
299,HUNK
300,DTNA
301,DSCR8
302,PCDHA5
303,NKG7
304,PKIA
305,MAP7D2
306,GLIS3
307,LGR4
308,FXYD6
309,MARCH8
310,TLR1
311,SLC7A11
312,FAM184A
313,RPS6KL1
314,DCDC5
315,CD207
316,PDZRN3
317,BCL11B
318,LINC01279
319,SYTL4
320,STYX
321,BDH1
322,NRXN3
323,SLC13A4
324,CXCL14
325,CSGALNACT1
326,CCDC74B
327,RNF128
328,GPC6
329,TSPAN33
330,PROZ
331,TNS4
332,HLA-G
333,CFAP69
334,PAX8-AS1
335,GATA2
336,PRH1
337,SERPINA5
338,RNF213
339,ABCA5
340,RUNX3
341,C11ORF21
342,SLC17A9
343,AKR1B10
344,CYP4B1
345,S100G
346,ASPHD2
347,MARC1
348,AQP5
349,KCTD14
350,LINC00993
351,NEDD9
352,"LOC101927272
"
353,FHL1
354,SQSTM1
355,CCDC85A
356,LINC00654
357,MESP1
358,S100A8
359,PTH2R
360,PCDHB13
361,LINC00115
362,TM4SF1
363,OGN
364,ST3GAL6
365,ZNF385B
366,RNASE2
367,MAGEA11
368,RIMKLA
369,CC2D2A
370,FAM184B
371,PRR5L
372,DBN1
373,RBP7
374,CRIP1
375,BPIFB1
376,CPE
377,RNF157
378,DNAH5
379,BCAR3
380,GPR137B
381,NLGN4X
382,EGFR
383,MTHFD1L
384,C4ORF19
385,GNG12
386,ZNF516
387,TMEM139
388,CYP2A7P1
389,USP35
390,CDKN2A
391,AGTR1
392,ERO1LB
393,SMA5
394,SYT13
395,NAV3
396,CDO1
397,DSEL
398,ACKR3
399,CST9
400,STK33
401,DNASE2B
402,ZBTB5
403,RAB36
404,NELL2
405,LRP12
406,PPARD
407,ZNF667-AS1
408,MYT1L
409,FOXD1
410,COL13A1
411,NPY5R
412,NEIL1
413,PCDHA11
414,TTLL7
415,MTA1
416,ASIC2
417,DAPL1
418,PTGDR
419,PFKP
420,CHODL
421,HOXB2
422,HOXA1
423,FAM155A
424,STC2
425,CXCL10
426,CCL18
427,ESRRG
428,HOXA9
429,RMST
430,PPP3CC
431,KRT7
432,FGF13
433,FBXO2
434,PNMA6A
435,CST3
436,TP53BP2
437,AKAP12
438,XIST
439,CACNA1I
440,CPAMD8
441,LIN7A
442,DNAH17
443,TPD52L1
444,CRABP2
445,CAB39L
446,STOM
447,RNF183
448,MAPT
449,TUBB6
450,ZNF662
451,TMEM101
452,PCDHB14
453,C1ORF64
454,MEST
455,PNO1
456,AREG
457,FAM129A
