,0
0,C1ORF43
1,DDIT4
2,FKBP4
3,ERH
4,NQO1
5,UBE2T
6,UNG
7,ODC1
8,IFIT1
9,DSP
10,PTMA
11,BANF1
12,ANXA3
13,TUBA1A
14,UBE2C
15,HMGN2
16,TXNIP
17,KLF10
18,IARS
19,DNAJB11
20,VRK1
21,C20ORF24
22,MARCKSL1
23,CCT3
24,SAT1
25,PPT1
26,MCM7
27,PSME1
28,IGFBP4
29,RAN
30,HIST1H2AC
31,EEF2
32,TOMM40
33,ILF2
34,RPL22L1
35,EIF4A3
36,AHSA1
37,RPS2
38,BAMBI
39,HSP90AA1
40,CDH3
41,SLC38A2
42,ATP5J
43,CSTA
44,MYO1B
45,B4GALT1
46,CDK4
47,CSE1L
48,LRP11
49,HADHB
50,S100A10
51,SLC3A2
52,DHCR24
53,ARL6IP1
54,MAD2L1
55,SLC7A5
