,0
0,RPL26
1,CTGF
2,TMSB4X
3,SNRPD2
4,H3F3B
5,SDCBP
6,MAGED1
7,RPL36A
8,RPS2
9,GAPDH
10,SUMO2
11,GPX4
12,HEBP1
13,HSPB1
14,VIM
15,SLPI
16,SUB1
17,MYC
18,CST3
19,RPLP0
20,IGFBP4
21,SET
22,TPT1
23,BASP1
24,NCL
25,RPL23A
26,RPL13A
27,SRGN
28,NACA
29,HSP90AB1
30,DDX17
31,GLUL
32,CTSC
33,RPS29
34,WFDC2
35,UQCRH
36,LAP3
37,CFD
38,PCOLCE
39,DYNLL1
40,ELOVL5
41,CAPZA1
42,CD9
43,ARL6IP5
44,PROL1
45,RGS2
46,BTG1
47,GSTP1
48,UBA52
49,ACTA2
50,PIP
51,PPIA
52,SERPINH1
53,RPL38
54,IER3
55,DBI
56,HINT1
57,YBX3
58,CEBPB
59,S100A10
60,MIF
61,TMSB10
62,RPL6
63,CD81
64,RPL39
65,RPL18
66,DCN
67,EGR1
68,ATP1B3
69,TPM1
70,CSRP1
71,S100A6
72,ATP5C1
73,NDUFA13
74,SRP14
75,COL5A1
76,MDH1
77,VAMP8
78,KRT6B
79,RPS23
80,CYR61
81,C3
82,PCBP1
83,IGFBP2
84,CREG1
85,VDAC2
86,MYL9
87,EIF3G
88,SLC38A1
89,CTSB
90,ELF5
91,GPNMB
92,TAGLN
93,DSTN
94,COL3A1
95,SPARC
96,CYCS
97,KCNN4
98,RPLP1
99,KRT19
100,REXO2
101,HSPA5
102,LTF
103,NUPR1
104,TPM2
105,RPL10A
106,TXNIP
107,RPS15
108,NAP1L1
109,IDH1
110,ANXA2
111,RPL11
112,CAPNS1
113,RPS5
114,SPP1
115,XIST
116,TFRC
117,ALDOA
118,MGP
119,RPSA
120,OAZ1
121,RPS27A
122,SAA2
123,EEF1A1
