,0
0,EEF2
1,EEF1B2
2,GTF2IP1
3,TMSB4X
4,MARCKSL1
5,RPL36AL
6,UBC
7,SDCBP
8,FOXA1
9,HSPA8
10,SLC25A5
11,RPS18
12,RPL36A
13,RPS2
14,GAPDH
15,PABPC3
16,TMA7
17,NPY1R
18,UBA1
19,HSPA1A
20,RPLP0
21,IGFBP4
22,KRT18
23,SET
24,TPT1
25,BASP1
26,NCL
27,B2M
28,GSTM3
29,RPL23A
30,DDR1
31,RPL13A
32,RPL5
33,ATP5E
34,CD63
35,HSP90AB1
36,SEC16A
37,NPM1
38,TPBG
39,RPLP0P6
40,TUBB4B
41,RAN
42,HSPD1
43,XBP1
44,RPS29
45,H1F0
46,DSP
47,LAP3
48,TMEM59
49,DYNLL1
50,RPS19
51,PSME1
52,BTG1
53,UBA52
54,PPIA
55,RPS26
56,GATA3
57,CD24
58,RPS3A
59,EIF3D
60,RPL8
61,IER3
62,DBI
63,CEBPB
64,TPD52L1
65,RPL30
66,S100A10
67,TMSB10
68,MYL6
69,NFKBIA
70,DDX5
71,ADIRF
72,CD81
73,EFNA1
74,RPS6
75,HSP90AA1
76,ATP1B3
77,TUBB
78,PSMB5
79,STUB1
80,DHCR24
81,MRPL3
82,PPIB
83,GNAS
84,SERPINA3
85,TACSTD2
86,HIF1A
87,TMBIM6
88,PCBP1
89,HIST1H2AC
90,KLHDC2
91,VDAC2
92,HMGN2
93,PPT1
94,RPL12
95,EIF3G
96,CCNG2
97,RPS17
98,MYL12B
99,REEP5
100,TOB1
101,DSTN
102,ARF6
103,CCT5
104,PPP1R3C
105,CYCS
106,KRT19
107,LGALS1
108,TUBA1C
109,GGCT
110,FAU
111,HSPA5
112,RPS16
113,EIF3E
114,MLPH
115,PPA1
116,S100P
117,YBX1
118,TXNIP
119,CDH3
120,CAPNS1
121,RPS4X
122,CA12
123,NSA2
124,TFRC
125,RPSA
126,H3F3AP4
127,EEF1A1
