,0
0,PROM1
1,CXCL12
2,FCGBP
3,MYH11
4,COL5A2
5,GSTM2
6,DCN
7,ENPP2
8,TSPAN7
9,ADD3
10,TAGLN
11,SDPR
12,KRT5
13,CFD
14,EHD2
15,CFI
16,CSRP1
17,ADAMTS1
18,CAV1
19,PTN
20,RBP4
21,DUSP6
22,AOC3
23,CLU
24,HBB
25,IGFBP6
26,ACTA2
27,GPX3
28,OXTR
29,G0S2
30,THRSP
31,GHR
32,CITED1
33,TNXB
34,MYLK
35,XDH
36,SLPI
37,MFAP4
38,MIA
39,PLIN1
40,LPL
41,SERPING1
42,COX6C
43,PPARG
44,FMO1
45,PPAP2B
46,APOD
47,AGT
48,DPT
49,AQP1
50,CDO1
51,CCND1
52,FN1
53,MMP13
54,C3
55,IGF1
56,IL17B
57,NDRG2
58,ANXA1
59,ART3
60,PENK
61,KRT15
62,FHL1
63,FABP4
64,ZFP36
65,HBA1
66,CIDEA
67,FXYD1
68,PLIN4
