,0
0,OSR1
1,SLIT2
2,GHR
3,INHBB
4,ZFP36
5,JAM2
6,CCL14
7,FOSB
8,TMEM100
9,MATN2
10,SHE
11,SASH1
12,SRPX
13,HLF
14,FHL1
15,APOD
16,GPX3
17,ELOVL7
18,ENPP2
19,DPYSL2
20,CTSG
21,ABCA9
22,DUSP6
23,MAMDC2
24,CYYR1
25,PPARG
26,PGM5-AS1
27,RBP7
28,AQP1
29,RERGL
30,MEOX1
31,GABRE
32,CSRNP1
33,C16ORF89
34,RHOJ
35,PI15
36,SDPR
37,DLK1
38,TM4SF18
39,FABP4
40,PRIMA1
41,C2ORF40
42,KRT14
43,LIFR
44,EGR3
45,MRC1
46,ADH1B
47,SH3BGRL2
48,SYNM
49,PPL
50,LYVE1
51,EMCN
52,AKR1C3
53,NOSTRIN
54,TGFBR3
55,PON3
56,LRRN4CL
57,AOC3
58,PTGDS
59,LPL
60,PROS1
61,FIGF
62,GPC3
63,ITGA7
64,FMO2
65,CLEC3B
66,TNXB
67,ITM2A
68,CCL21
69,TSPAN7
70,NR3C2
71,IL33
72,CDO1
73,SPRY2
74,ABCA6
75,RELN
76,HBB
77,CHRDL1
78,CFD
79,WIF1
80,PPAP2B
81,EBF1
82,CRIM1
83,PDLIM1
84,ADIPOQ
85,GPIHBP1
86,OLFML2A
87,IGSF10
88,SFRP1
89,FOS
90,PTGS2
91,SCN4B
92,FAM189A2
93,SEMA3G
94,ADH1C
95,SCARA5
96,PENK
97,SLC7A3
98,PDK4
99,CAPN6
100,COL6A6
101,KLHL13
102,ZBTB16
103,ADAMTS1
104,PDE2A
105,IL17RD
106,ANKRD29
107,TAC1
108,LHFP
109,HYMAI
110,NRN1
111,EFEMP1
112,ACKR1
113,KLF4
114,ABCA8
115,CAV1
116,ANXA3
117,EGFLAM
118,ITIH5
119,PAMR1
120,CLDN5
121,EDNRB
122,CD34
