,0
0,ADIPOQ
1,FCGBP
2,TUBA1B
3,COL5A2
4,CHIA1
5,KCNK1
6,HSPA8
7,PDHA1
8,ETV1
9,HIBADH
10,RNASET2A
11,SGK1
12,HSD11B1
13,RPL13
14,ORM2
15,CASP1
16,CTBP2
17,GM10845
18,SAT1
19,ECH1
20,NFIB
21,CFL1
22,YWHAG
23,PSAP
24,RPL13A
25,CD1D2
26,COX5B
27,RPL22L1
28,CSN1S2A
29,NACA
30,GM10221
31,COL11A1
32,APCDD1
33,FXYD1
34,ACTB
35,GLYCAM1
36,NDUFS2
37,HADHB
38,JTB
39,PLIN4
40,NDUFA7
41,RAN
42,BC094435
43,UQCRH
44,GSTZ1
45,CFD
46,LALBA
47,RETN
48,ESD
49,SHF
50,RPS19
51,COL4A1
52,UQCR10
53,ATP1A1
54,ACTA2
55,SERINC3
56,RPS7
57,CLDN7
58,CRIP1
59,MYL12A
60,CEACAM10
61,PYGM
62,NES
63,DBI
64,TNNT3
65,DPT
66,TPD52L1
67,ART3
68,NUTF2
69,RPL6
70,SMOC1
71,AHNAK
72,SOD1
73,BGLAP3
74,SREBF1
75,SLC25A1
76,LIPE
77,RPS11
78,FOLR1
79,NOTCH4
80,HSPA9
81,ATP6V0C
82,CLIC1
83,RAMP1
84,WFDC18
85,SOX4
86,UCP1
87,PPP1CB
88,SHROOM3
89,HIF1A
90,GJB2
91,CDO1
92,ADIPOR2
93,C3
94,DAP
95,IGKJ1
96,MRAP
97,EIF3M
98,GLMP
99,CIDEA
100,PFKL
101,PKM
102,RPL19
103,COMT
104,IFI27L2A
105,MYL12B
106,MARCKS
107,COL15A1
108,WBP5
109,FAM134B
110,LTBP4
111,CCDC80
112,SPARC
113,ACTA1
114,PCX
115,LGALS1
116,FXYD3
117,COX7A2
118,THBS1
119,STK39
120,MELA
121,TFAP2C
122,ZFAND5
123,XDH
124,ATP5C1-PS
125,FV4
126,PQLC1
127,NFIX
128,PPARG
129,GAS6
130,COL6A3
131,SERPINF1
132,H2-Q7
133,RABAC1
134,COX8B
135,ADIG
136,SERPINA3N
137,UBB
138,RPS27A
139,PPP2R5A
140,EEF1A1
141,LAPTM4A
142,NDUFS5
143,SFXN1
144,APOC1
145,COX6A1
146,ZWINT
147,PDIA4
148,NDUFB8
149,HBA-A1
150,NDUFS1
151,IIGP1
152,ITGB1
153,SPTBN1
154,POSTN
155,CSTB
156,IGKC
157,ATP2A1
158,DGAT1
159,ACSL4
160,MIA
161,LEP
162,CST3
163,PTMS
164,TSPAN8
165,KRT18
166,PHLDA1
167,CEL
168,CHPT1
169,NCL
170,PSMB8
171,BPIFA2
172,SUCLG1
173,PIK3R1
174,ACO2
175,SOCS2
176,EZR
177,ACP5
178,CLDN3
179,PHLDA3
180,H2AFZ
181,RBM3
182,FERMT2
183,XBP1
184,NDFIP1
185,ADRB3
186,PTRF
187,TMEM59
188,YWHAQ
189,9530068E07RIK
190,PLA2G1B
191,NDUFV1
192,ZFP36L1
193,IFITM3
194,SKP1A
195,IGFBP6
196,RPL34
197,GPX3
198,PTMA
199,OGDH
200,GHR
201,PPIA
202,HBB-B1
203,RPS26
204,PPP1CC
205,RARRES2
206,ANAPC5
207,BHLHE40
208,PAIP2
209,SDHC
210,CYP2E1
211,RNF10
212,COL4A2
213,HINT1
214,CYSTM1
215,DHRS7
216,ACLY
217,ITIH5
218,AK2
219,GPX2
220,ECE1
221,EPCAM
222,DCN
223,JUND
224,CES1D
225,LRP1
226,TMED3
227,ATP1B3
228,RPL37
229,DUSP6
230,AOC3
231,PLAC8
232,ACADM
233,IGJ
234,SDHD
235,SDHB
236,GPAM
237,ENO3
238,RAB3D
239,SLC7A5
240,FTH1
241,VAMP8
242,ACAA2
243,NDUFB5
244,COG6
245,MCAM
246,CSN2
247,TUBA1A
248,RALBP1
249,B4GALT6
250,HIST1H2AC
251,CSDE1
252,LTBP2
253,NDUFB3
254,VBP1
255,CTSB
256,RPL10
257,RPL21
258,RPL37A
259,GAS1
260,PRDX6
261,NPNT
262,TAGLN
263,SDPR
264,CDK2AP1
265,DSTN
266,GSN
267,LCN2
268,TKT
269,ECI1
270,NPC2
271,CMBL
272,GYS1
273,GJA1
274,TGIF1
275,MMP3
276,RNF141
277,CAR3
278,PGK1
279,IDH1
280,"LOC674800
"
281,RNF145
282,NNAT
283,UGT1A10
284,XIST
285,SLC3A2
286,ANGPTL2
287,NDUFB9
288,HSPA1B
289,PPP2R5C
290,ANXA5
291,MGP
292,CPE
293,CPT1A
294,PDHB
295,RHOQ
296,PGP
297,PGM2
298,UQCRC1
299,PVALB
300,BSG
301,LAMP1
302,PTP4A1
303,ATP6V1A
304,MRFAP1
305,IGKV4-58
306,CALM2
307,IGKV4-72
308,HADH
309,F11R
310,H2-AA
311,SLC25A10
312,F3
313,PERP
314,LPIN1
315,RPL7
316,TGFB3
317,GBP3
318,P4HB
319,BASP1
320,PRKCDBP
321,B2M
322,SLC29A1
323,UQCRC2
324,PSMC6
325,PDIA3
326,TCN2
327,LMO4
328,POMP
329,SLC1A5
330,CALM1
331,RASD1
332,UQCRB
333,EMP1
334,CYC1
335,MYH11
336,GINM1
337,ATP6V1E1
338,MORF4L1
339,GM19491
340,TALDO1
341,TMEM119
342,LBP
343,CD9
344,2010111I01RIK
345,PNPLA2
346,RBP4
347,TSPO
348,AASS
349,WWC1
350,IGH-VJ558
351,IRX3
352,KRT8
353,C4A
354,SNRPB
355,HSP90B1
356,CDCP1
357,H3F3A
358,ATP6V1G1
359,PLK3
360,CYP4B1
361,PABPC1
362,CAR6
363,SCRG1
364,GNG5
365,ARG1
366,COL6A1
367,ISOC1
368,S100A10
369,PSMA2
370,APOE
371,LY6A
372,TRIM28
373,CCT7
374,CMAS
375,CSN3
376,ERRFI1
377,RPS6
378,GRINA
379,CPT2
380,CLDN4
381,HP
382,ETFB
383,ELOVL6
384,CP
385,CS
386,ACTG1
387,CSNK1A1
388,LCP1
389,H2-T9
390,GNAS
391,SERPING1
392,COX6A2
393,CTNNB1
394,FMO1
395,IER2
396,MDH2
397,CIDEC
398,HK1
399,CD74
400,ANPEP
401,CEBPA
402,TIMP3
403,HMOX1
404,GSTM1
405,MUP1
406,OSTC
407,GM11353
408,CTSH
409,SAR1A
410,HSD17B4
411,CDH5
412,SNRPE
413,CTSD
414,SMPDL3A
415,FADS1
416,SCD2
417,EPHA2
418,BCKDHB
419,SMAGP
420,KCNN4
421,MANF
422,RPLP1
423,KRT19
424,AIM1
425,EMID1
426,HBB-B2
