,0
0,RIN2
1,COL6A2
2,SLC12A2
3,BSG
4,CTSS
5,H3F3B
6,ATP6V1A
7,CEACAM1
8,RPS2
9,PIGR
10,SLC25A4
11,GPI1
12,HIBADH
13,CSTB
14,RNASET2A
15,ORM1
16,RPL13
17,CST3
18,PERP
19,RPS16-PS2
20,CTBP2
21,RPS15A
22,BASP1
23,PHLDA1
24,NCL
25,SLC29A1
26,ACO2
27,RPL13A
28,PDIA3
29,RPL22L1
30,ACP5
31,4931406C07RIK
32,NACA
33,HSP90AB1
34,ACTB
35,RBM3
36,GLYCAM1
37,NDUFS2
38,EMP1
39,CYC1
40,MFGE8
41,MORF4L1
42,BC094435
43,UQCRH
44,CD24A
45,CFD
46,RPL36
47,LALBA
48,TALDO1
49,SCD1
50,CD9
51,TSPO
52,CLU
53,IFITM3
54,IGH-VJ558
55,SERINC3
56,ACTA2
57,RPS7
58,CLDN7
59,CRIP1
60,IRX3
61,PPIA
62,HBB-B1
63,KRT8
64,LPL
65,ANAPC5
66,RBP1
67,SNRPB
68,BHLHE40
69,HSP90B1
70,FASN
71,IER3
72,H3F3A
73,ATP6V1G1
74,DBI
75,HINT1
76,CEBPB
77,RPS28
78,CAR6
79,ARG1
80,ACLY
81,EPCAM
82,S100A10
83,NUTF2
84,PSMA2
85,APOE
86,LY6A
87,RPL6
88,CD81
89,DYNLL2
90,NDUFA5
91,DCN
92,CSN3
93,SREBF1
94,JUND
95,TMED3
96,ATP1B3
97,TPM1
98,CSRP1
99,CAV1
100,HP
101,S100A6
102,DUSP6
103,ELOVL6
104,CP
105,ACTG1
106,ACADM
107,SERPING1
108,CTNNB1
109,FTH1
110,VAMP8
111,GDPD3
112,RPS23
113,RPL7A
114,C3
115,CSN2
116,TUBA1A
117,DAP
118,CAR2
119,CSDE1
120,COL9A1
121,PKM
122,PFKL
123,RPL19
124,CTSB
125,SNRPE
126,ELF5
127,TAGLN
128,CTSD
129,DSTN
130,LCN2
131,FAM3C
132,TKT
133,SCD2
134,COL3A1
135,SPARC
136,KCNN4
137,RAB18
138,ACTA1
139,RPLP1
140,KRT19
141,CHIL1
142,FXYD3
143,COX7A2
144,THBS1
145,EMID1
146,HSPA5
147,LTF
148,XDH
149,CAR3
150,RPL10A
151,PGK1
152,NFIX
153,IDH1
154,TRAM1
155,ANXA2
156,RPS5
157,RNF145
158,XIST
159,HSPA1B
160,MGP
161,CPE
162,RPS27A
163,EEF1A1
164,ACSL1
