,0
0,ADIPOQ
1,FCGBP
2,GAS1
3,COL5A2
4,DCN
5,MYH11
6,PVALB
7,TAGLN
8,SOX10
9,PTRF
10,SDPR
11,ELF5
12,ZWINT
13,CFD
14,FOLR1
15,CSRP1
16,CAV1
17,FXYD1
18,KCNN4
19,RBP4
20,PIGR
21,AOC3
22,IGFBP6
23,ACTA2
24,GPX3
25,THRSP
26,PRNP
27,GHR
28,IGJ
29,LTF
30,CITED1
31,TFAP2C
32,MYLK
33,XDH
34,MIA
35,LPL
36,LEP
37,F3
38,TSPAN8
39,KIT
40,SERPING1
41,SOD3
42,COX6C
43,PPARG
44,FMO1
45,SGCE
46,GJB2
47,GAS6
48,PLTP
49,DPT
50,CHPT1
51,CDO1
52,NFIB
53,SCRG1
54,SOCS2
55,ITIH5
56,HMOX1
57,GSTM1
58,MGP
59,GNAI1
60,LTBP2
61,COL11A1
62,APCDD1
63,RASD1
64,PLIN4
