,0
0,IDH1
1,SNRPE
2,PSAP
3,MORF4L1
4,RPL10A
5,ANXA5
6,IER3
7,JTB
8,ATP1A1
9,MGP
10,RPS23
11,CALM2
12,TFAP2C
13,RPL10
14,ACTB
15,HADHB
16,IGKC
17,P4HB
18,ACTA2
19,APP
20,EEF1A1
21,DCN
22,B2M
23,JUND
24,RPS26
25,RPLP1
26,RPL41
27,SERP1
28,UBB
29,AHNAK
30,FTH1
31,RPL6
32,RPS7
33,TUBA1B
34,HSPA1A
35,LTF
36,TPM1
37,GATA3
38,RPS2
39,"RSRP1
"
40,PPIA
41,KIT
42,LAMP1
43,HSPA8
44,H3F3B
45,PABPC1
46,TMED10
47,MYH11
48,RPL37A
49,FAM3C
50,CEBPB
51,CSN3
52,ELF5
53,BHLHE40
54,RNASE4
55,EPCAM
56,DBI
57,IER2
58,RPS28
59,SOCS2
60,ATP1B3
61,LAPTM4A
62,HIST1H2AC
63,RPL37
64,RGCC
65,EIF4A2
66,MKNK2
67,SEC11A
68,NCL
69,RBBP7
70,CDC42SE1
71,UQCR10
72,COX7A2
73,SPARC
74,RPS17
75,C3
76,PIK3R1
77,IFITM3
78,XBP1
79,CD81
80,TSPAN8
81,NDUFB8
82,SGK1
83,RPL13
84,TUBA1A
85,RPL7A
86,MYLK
87,NACA
88,RPS19
89,EEF2
90,NDRG1
91,PTP4A1
92,RPL13A
93,RPS6
94,LALBA
95,GNAS
96,CDK2AP1
97,ACTG1
98,RPL34
