,0
0,H1F0
1,HSP90B1
2,MANF
3,RPL36
4,PSAP
5,MORF4L1
6,ANXA5
7,CLU
8,IER3
9,F11R
10,SAT1
11,CSDE1
12,YWHAQ
13,TFAP2C
14,NDUFS3
15,KRT18
16,VAMP8
17,COMT
18,CYC1
19,ISOC1
20,NDUFB9
21,CCT7
22,NPNT
23,APP
24,CNIH1
25,B2M
26,RPS26
27,RPLP1
28,FOLR1
29,RPL6
30,RAN
31,TUBA1B
32,HSPA1A
33,UQCRH
34,FXYD3
35,PRDX4
36,UQCRQ
37,MRFAP1
38,GATA3
39,PKM
40,S100A10
41,PPIA
42,HSP90AB1
43,SLC7A5
44,HSPA8
45,SCP2
46,CEBPB
47,CTSD
48,NDUFS5
49,EPCAM
50,HINT1
51,COX6C
52,SOCS2
53,HIST1H2AC
54,EIF4A2
55,SEC11A
56,RPL22L1
57,ID2
58,NDUFAB1
59,COX7A2
60,XBP1
61,SNRPB
62,DSTN
63,ANXA2
64,TMEM59
65,MYL12A
66,MYL12B
67,TUBA1A
68,NACA
69,PPP1CC
70,IRX3
71,EEF2
72,KRT8
73,CS
74,CST3
75,PTP4A1
76,TKT
77,ADIPOR2
78,SLC12A2
79,TPD52L1
80,GOLPH3
81,SLC3A2
82,CDK2AP1
83,SERINC3
84,BASP1
85,HSPA1B
