,0
0,PTTG1IP
1,EEF2
2,TMSB4X
3,HMGN1
4,SLC12A2
5,SDCBP
6,HSPA8
7,SLC25A5
8,ENO1
9,ATP5B
10,GAPDH
11,PLK2
12,RPL27
13,MGST1
14,CST3
15,KRT18
16,SAT1
17,B2M
18,BNIP3
19,CD63
20,AREG
21,HSP90AB1
22,NDUFA4
23,CDH1
24,TUBB4B
25,RAN
26,S100A11
27,XBP1
28,MORF4L1
29,DSP
30,ID2
31,ID3
32,SELENBP1
33,YWHAQ
34,GABARAP
35,ARL6IP5
36,CLU
37,BTG1
38,MYL12A
39,TAGLN2
40,PPIA
41,RPS26
42,CD24
43,KRT8
44,HSP90B1
45,CEBPB
46,SEPP1
47,PRSS23
48,EPCAM
49,PMP22
50,LXN
51,S100A10
52,MIF
53,PSMB3
54,FAM107B
55,LAPTM4B
56,RPL9
57,MT2A
58,PRDX1
59,TACSTD2
60,MDH1
61,SGCG
62,ATP5G3
63,DYNLT3
64,COMT
65,G6PD
66,MYL12B
67,CD164
68,REEP5
69,UQCRFS1
70,SEC61G
71,FXYD3
72,TUBA1C
73,ITM2B
74,TXNIP
75,COX6C
76,ANXA2
77,CAPNS1
78,NDUFB9
79,HSPA1B
80,FHL1
81,GLO1
