,0
0,CLN6
1,TC2N
2,EVI5
3,TISP43
4,SLCO4A1
5,IL24
6,DEPDC7
7,MLF1
8,KRTAP4-9
9,F13A1
10,AFAP1-AS1
11,PRELID2
12,CPA3
13,CLU
14,MIR503
15,TMEM171
16,CYFIP2
17,KCNMB1
18,NMUR2
19,KLHL28
20,YIPF5
21,IDI1
22,RNU5B-1
23,ZNF204P
24,PTCHD1
25,CYP4X1
26,TMEM2
27,LRRC2
28,GSTCD
29,SYCP2
30,TBC1D13
31,CCDC112
32,SEMA4C
33,TIMP4
34,VHL
35,GHR
36,FAM83A
37,CACNB4
38,PTGER2
39,MAP2
40,AADAC
41,RAB37
42,FYB
43,FOS
44,MISP
45,ABCC3
46,TMED9
47,CLDN1
48,ANK2
49,FPR1
50,EFS
51,SNORD13P1
52,MSMO1
53,KRTAP2-3
54,CD33
55,SPRY4
56,GSKIP
57,FAM222A-AS1
58,TCTA
59,C1QTNF6
60,SGTB
61,NHSL2
62,KISS1
63,GPRC5B
64,CES1
65,TAGLN
66,SLFN5
67,PTGES
68,SSX7
69,BCL2L11
70,GALNT5
71,TMEM156
72,THSD7B
73,NFKBIA
74,CXCL2
75,TATDN2
76,ARRDC4
77,"ZNF542P
"
78,PDE7B
79,KIF24
80,ARFGAP3
81,DPYSL3
82,NHS
83,GNG2
84,MPP7
85,ARHGAP15
86,SNORD56B
87,ARL3
88,SNORD38B
89,MRPL22
90,UBL3
91,ADAMTS1
92,MIR29A
93,CALCRL
94,SLCO5A1
95,PTX3
96,C4ORF26
97,KLF8
98,SAA3P
99,CREBRF
100,PARM1
101,ZNF506
102,RBMY2EP
103,ZCCHC5
104,CTH
105,MCOLN2
106,ZNF91
107,SNORD63
108,ZNF738
109,GLDN
110,RBPJ
111,SEMA3E
112,BIRC3
113,SERPINA3
114,CPEB4
115,MAML3
116,SAA4
117,SIRPB1
118,LIPG
119,VTRNA1-3
120,TMEM159
121,HOXB9
122,MAP3K7CL
123,SLC16A7
124,DNAH11
125,NR3C2
126,GAFA1
127,DTX3L
128,GAD1
129,MPZL2
130,CYTIP
131,MAGEC2
132,DIRC2
133,ZG16B
134,SNORA46
135,RGS9
136,SERPINF1
137,LPAR2
138,ST8SIA4
139,ARHGAP24
140,MIR492
141,LPAL2
142,HSD17B2
143,IL7R
144,ZNF85
145,MYPN
146,MIRLET7A2
147,SNORD95
148,DIAPH2
149,IL1B
150,MIR19B1
151,TLR4
152,SEC23B
153,ATF7IP2
154,OPHN1
155,HDAC9
156,RAP1GAP2
157,DDX58
158,CXCL1
159,PODNL1
160,FICD
161,SNORD14C
162,RAB42
163,SLC7A8
164,TNIP3
165,CDK15
166,TENC1
167,SH2D1B
168,ALDOC
169,PPAPDC1A
170,TMTC1
171,DUSP10
172,MED10
173,BCHE
174,LCN2
175,TMEM217
176,ELF3
177,ARRB2
178,SULF2
179,PDE5A
180,SHROOM3
181,LINC00518
182,GPR56
183,DNAL1
184,C11ORF74
185,PDZK1
186,RPPH1
187,ANKFN1
188,PIR
189,ADAP2
190,NAA11
191,ARHGEF28
192,SSX4
193,SELENBP1
194,COL15A1
195,CEACAM1
196,ZSCAN5B
197,JMY
198,FHDC1
199,ATP6V0D2
200,MIR516B1
201,SIL1
202,KCNN3
203,INS-IGF2
204,MIR519B
205,PRMT6
206,ZNF474
207,VEGFC
208,ARHGAP19
209,ADAMTS15
210,FAM49A
211,STS
212,GAS5
213,PRR16
214,CYP24A1
215,PBX1
216,SNORD42A
217,SC5D
218,LIPN
219,PTGS1
220,WWC1
221,MOSPD1
222,SCG2
223,CXCL8
224,HTR1F
225,CCDC68
226,PRKG1
227,SDPR
228,CYP2J2
229,SLC7A5
230,ARHGEF6
231,SSX2
232,PDLIM4
233,LYPD3
234,TMEM154
235,ART3
236,TCP11L2
237,SEC61G
238,CSF2
239,IGFL3
240,TM4SF18
241,CDH1
242,AOAH
243,FANCD2
244,GGT5
245,IRAK3
246,FLJ32742
247,SAA2
248,TTC1
249,HMGCS1
250,MIR100
251,TNFSF15
252,"TMEM261
"
253,TNFAIP3
254,C9ORF84
255,STEAP1
256,TCN1
257,NDNF
258,PRDM1
259,HAPLN1
260,NEGR1
261,SECTM1
262,FAM26E
263,SPARC
264,LYPD6
265,ELMOD1
266,STRA6
267,TRIB3
268,FAM189A2
269,SLC4A7
270,LOC728323
271,CALHM3
272,KLRC4
273,PPP4R1L
274,DIO2
275,PDZK1IP1
276,LRRCC1
277,PAIP2
278,PLXDC2
279,GRAMD3
280,VCAM1
281,TRMT10A
282,CXCL11
283,TMEM40
284,C6ORF52
285,HCAR1
286,INHBB
287,IKZF3
288,LRRC34
289,SERPINB3
290,ZNF717
291,MUSK
292,GAGE2E
293,RBM47
294,ITGB4
295,CYSTM1
296,GPR176
297,WDR66
298,NUPR1
299,HAND1
300,SLCO4C1
301,CNKSR2
302,ANO5
303,DNAJB9
304,PDE3B
305,CSNK1G3
306,MIR16-2
307,SYT1
308,SCD
309,SPINK1
310,KRT80
311,TPMT
312,USP38
313,TRIM61
314,ROMO1
315,TBL1X
316,DLEU2
317,RNF180
318,FLJ44477
319,CCL20
320,CST1
