,0
0,MSH3
1,PRKCA
2,RAF1
3,MRE11
4,MAP2K3
5,BAX
6,FOXO1
7,TP53
8,MTOR
9,MAP2K1
10,FLT4
11,SHC1
12,MYSM1
13,AKT1
14,BARD1
15,EP300
16,BCL2L1
17,GRB2
18,PALB2
19,TGFA
20,CREB1
21,STAT3
22,CYCS
23,GSK3B
24,RAD51
25,PARP2
26,MAPK3
27,PARP1
28,CASP3
29,SRC
30,"VEGFD
"
31,MAPK1
32,BRCA1
33,RAD50
34,BCL2
35,MYC
36,NRG1
37,BRIP1
38,FOS
39,MAP2K2
40,FOXO3
41,TCF7
42,CTNNB1
43,CREBBP
44,FLT1
45,PIK3CA
46,SOS1
47,PTEN
48,SP1
49,MSH2
50,VEGFA
51,KDR
52,JAK1
53,JAK2
54,PIK3R1
55,MAP3K5
56,MDM2
57,MLH1
58,LEF1
59,JUN
60,CASP9
61,EGFR
62,MSH6
63,EGF
64,AREG
65,BAD
66,HBEGF
67,STAT5A
68,APAF1
69,NBN
70,BRCA2
71,KAT2B
72,VEGFC
73,PDPK1
