,0
0,DUSP1
1,IDH1
2,SNRPE
3,ELOVL5
4,RBM39
5,VDAC3
6,MORF4L1
7,RPL10A
8,IER3
9,MGP
10,NFE2L2
11,RPS23
12,SEPP1
13,SRP14
14,RPLP0
15,ACTB
16,SDCBP
17,RPL39
18,SUMO2
19,RPL23A
20,FOS
21,ACTA2
22,ERH
23,PROL1
24,EEF1A1
25,RPL11
26,LGALS3
27,LDHB
28,RPS14
29,DCN
30,SNRPG
31,JUND
32,RPLP1
33,FTH1
34,SLPI
35,RPL6
36,RPS7
37,KRT6B
38,LTF
39,GLUL
40,CYR61
41,TPM1
42,RPS2
43,RPS15
44,ARL6IP5
45,SET
46,RPL38
47,PPIA
48,H3F3B
49,PGAM1
50,ATP5A1
51,FAM3C
52,CEBPB
53,CSN3
54,VIM
55,RPS29
56,ELF5
57,SAA2
58,BHLHE40
59,EPCAM
60,DBI
61,CTGF
62,PEG3
63,RPS28
64,LDHA
65,ATP1B3
66,NCL
67,RPL31
68,EEF1G
69,COX7A2
70,OAZ1
71,SPARC
72,CARKD
73,RGS2
74,BTG2
75,SPARCL1
76,C3
77,GSTA4
78,ANP32B
79,IFITM3
80,DDX17
81,CD81
82,ATP5C1
83,TPT1
84,TUBA1A
85,RPL13
86,GAPDH
87,RPL7A
88,NACA
89,SLC38A1
90,MAPRE1
91,PIP
92,RPL13A
93,UBA52
94,TOMM20
95,LALBA
96,EGR1
97,ACTG1
