,0
0,TMSB4X
1,SLC12A2
2,SDCBP
3,RPL36A
4,RPS2
5,GAPDH
6,MCM7
7,TOMM20
8,KPNA2
9,FAM136A
10,SMIM14
11,ERH
12,GNB2L1
13,RPLP0
14,IGFBP4
15,SET
16,TPT1
17,BASP1
18,NCL
19,RPL23A
20,EIF4B
21,RPL13A
22,RPL22L1
23,HSP90AB1
24,ACTB
25,CYC1
26,EMG1
27,NOP10
28,RPS29
29,TPI1
30,MORF4L1
31,RPS3
32,LAP3
33,DYNLL1
34,PFDN2
35,CLU
36,BTG1
37,IFITM3
38,UBA52
39,SERINC3
40,NAA20
41,TSPAN13
42,PPIA
43,POLR2K
44,COX4I1
45,IER3
46,DBI
47,CEBPB
48,CCND1
49,SEPP1
50,CDC123
51,EPCAM
52,ANP32B
53,S100A10
54,NUTF2
55,TMSB10
56,PBK
57,CD81
58,SERBP1
59,PSME2
60,SULF2
61,ATP1B3
62,ACTG1
63,AHSA1
64,FTH1
65,TUBA1A
66,PCBP1
67,VDAC2
68,EIF3G
69,NOP56
70,UQCRFS1
71,GTF3A
72,DSTN
73,CTSD
74,TKT
75,CYCS
76,PAICS
77,KRT19
78,MAD2L1
79,KARS
80,COX7A2
81,RPL31
82,ASS1
83,HSPA5
84,TXNIP
85,ABCG2
86,CAPNS1
87,XPOT
88,EIF5A
89,TFRC
90,HSPA1B
91,RPSA
92,LDHA
93,RPN1
94,EEF1A1
95,EEF1G
