,0
0,WNT7B
1,FZD10
2,AKT2
3,CETN3
4,SHC4
5,NRAS
6,MTOR
7,WNT1
8,FGF1
9,HEYL
10,RB1
11,CDKN1A
12,DVL2
13,CSNK2A2
14,RAD51
15,FRAT2
16,MAPK1
17,MYC
18,JAG2
19,LRP6
20,KIT
21,CSNK2B
22,FGF10
23,FGF17
24,DLL1
25,FGF3
26,SP1
27,WNT4
28,HEY1
29,FGF2
30,PIK3R1
31,FGF16
32,LEF1
33,FGF22
34,AKT3
35,ESR2
36,ESR1
37,FGF23
38,SHC2
39,TCF7L2
40,FZD2
41,WNT7A
42,WNT11
43,WNT10A
44,PIK3R3
45,WNT3A
46,RPS6KB1
47,HES1
48,GSK3B
49,NCOA3
50,RPS6KB2
51,MAPK3
52,LRP5
53,FZD7
54,HEY2
55,FGF19
56,PIK3R2
57,ATM
58,RAD50
59,PIK3CD
60,CSNK2A1
61,NCOA1
62,FOS
63,TCF7
64,TCF7L1
65,CCND1
66,ATR
67,FZD8
68,E2F2
69,APC2
70,IGF1
71,GADD45A
72,SOS2
73,FGF6
74,FGF8
75,FGF5
76,PGR
77,GADD45G
78,WNT16
79,NFKB2
80,FGF9
81,AXIN1
82,MAP2K1
83,WNT3
84,SHC1
85,ARAF
86,AKT1
87,FZD9
88,NOTCH4
89,FZD6
90,BRAF
91,APC
92,ERBB2
93,CDK4
94,PARP1
95,WNT2
96,E2F3
97,"CSNK2A3
"
98,CDK6
99,FGF20
100,CSNK1A1
101,CSNK1A1L
102,CTNNB1
103,FGFR1
104,SKP1
105,TNFSF11
106,AXIN2
107,WNT5A
108,POLK
109,NOTCH3
110,JUN
111,EGFR
112,EGF
113,FRAT1
114,WNT10B
115,TP53
116,BAK1
117,WNT2B
118,FGF18
119,FGF7
120,FGF21
121,DLL3
122,KRAS
123,RAF1
124,MRE11
125,IGF1R
126,BAX
127,NOTCH1
128,FGF4
129,FLT4
130,FZD3
131,HRAS
132,HES5
133,WNT6
134,GRB2
135,DVL3
136,DVL1
137,GADD45B
138,FZD5
139,BRCA1
140,MAP2K2
141,SHC3
142,DDB2
143,PIK3CA
144,SOS1
145,PTEN
146,FZD1
147,E2F1
148,WNT5B
149,DLL4
150,NBN
151,BRCA2
152,SFRP4
153,NOTCH2
