,0
0,BCL2L11
1,IL20
2,GEMIN5
3,CCND1
4,WIPF1
5,TET2
6,SMTNL2
7,GJA1
8,IGFBP4
9,TMA16
10,PPM1K
11,TMPRSS3
12,IL24
13,JAK2
14,ZNF703
15,TMEM64
16,PTGES
17,NRIP1
18,MAT1A
19,DOK7
20,ENDOD1
21,HSPB8
22,NAB2
23,GALNT4
24,NBPF1
25,C15ORF59
26,WISP2
27,MREG
28,SLC19A2
29,RASGRP1
30,EGR3
31,SIAH2
32,CXCL12
33,FDFT1
34,CELSR2
35,NPY1R
36,TIPARP
37,ITGA2
38,TENM4
39,CA12
40,GREB1
41,PGBD5
42,SLC26A2
43,ADCY9
44,RAPGEFL1
45,PRSS23
46,PKIB
47,THBS1
48,AREG
49,NAV2
50,KCNK6
51,NECAB1
52,CBFA2T3
53,MYBL1
54,SGK223
55,OLFM1
56,SGK3
57,NPY5R
58,PMAIP1
59,TPBG
60,LONRF2
61,RHOD
62,NOC3L
63,CAP2
64,SMOX
65,SLC2A14
66,RBBP8
67,PGR
68,SLC7A5
69,THSD4
70,ANKRD29
71,SHOC2
72,C1ORF226
73,C6ORF141
74,C5AR2
75,SYTL5
76,PDZK1
77,RCL1
78,RBM24
79,RAI14
80,RARA
81,CHSY1
82,SYTL4
83,RET
84,RERG
