,0
0,PRMT5
1,CD47
2,GEMIN5
3,HSPB8
4,CCND1
5,CYCS
6,PGR
7,FKBP4
8,NOLC1
9,CTSD
10,EIF1AX
11,PAICS
12,MREG
13,RPL22L1
14,E2F6
15,TPD52L1
16,HSP90AA1
17,MYOF
18,SLC19A2
19,TUBB6
20,DNAJA1
21,C1QBP
22,HSPD1
23,EGR3
24,IGFBP4
25,MRPL3
26,SIAH2
27,ABAT
28,SMS
29,CXCL12
30,HSP90AB1
31,RBM24
32,FDFT1
33,YBX1
34,PTP4A1
35,NPY1R
36,TSKU
37,CCT2
38,ABCE1
39,FABP5
40,HSPA8
41,NME1
42,HSPH1
43,CA12
44,GREB1
45,PSMG1
46,NPM1
47,SLC26A2
48,TPBG
49,NOP56
50,PKIB
51,DDX21
52,RUVBL1
53,NOC3L
54,WDR3
55,PRSS23
56,NRIP1
