,0
0,BRIP1
1,ASF1B
2,CASC5
3,ERCC6L
4,HELLS
5,PIF1
6,GINS2
7,CDC25A
8,MCM7
9,"SGO2
"
10,TPX2
11,ORC1
12,NCAPH
13,MCM8
14,CDKN3
15,ESPL1
16,MCM6
17,BUB1
18,KPNA2
19,RAD51
20,RAD54L
21,NDC80
22,E2F1
23,SPC24
24,CEP55
25,H1FX
26,RRM2
27,TOP2A
28,CDCA3
29,WDR62
30,RNASEH2A
31,CENPN
32,LBR
33,POLE2
34,KIF2C
35,CDC25B
36,CCNB2
37,CCNA2
38,KIAA1524
39,KIF18A
40,NCAPG
41,RFC4
42,NCAPD2
43,CENPO
44,MCM4
45,MCM10
46,SPAG5
47,ANLN
48,MYBL2
49,CDCA5
50,LONP1
51,PLK4
52,BIRC5
53,ESCO2
54,RBL1
55,HMMR
56,E2F8
57,CCNF
58,KIF11
59,CDCA8
60,EXO1
61,SHCBP1
62,BRI3BP
63,GTSE1
64,LMNB1
65,KIF15
66,GSG2
67,ATAD2
68,CDK1
69,GINS1
70,PBK
71,POLA2
72,TUBB
73,KIF23
74,TONSL
75,CENPI
76,RAD51AP1
77,BUB1B
78,TMEM97
79,TCF19
80,FEN1
81,FBXO5
82,RP11-673C5.1
83,IQGAP3
84,CCNB1
85,CDC20
86,ARHGAP11A
87,CDCA2
88,KIF20B
89,E2F2
90,UBE2T
91,CHEK1
92,DNAJC9
93,DIAPH3
94,FAM83D
95,CENPE
96,ARHGAP19
97,FANCI
98,USP1
99,DHTKD1
100,DLGAP5
101,CENPF
102,TACC3
103,DEPDC1
104,CIT
105,HJURP
106,CENPU
107,POLQ
108,KIF14
109,DDIAS
110,PSRC1
111,MTHFD1
112,SPDL1
113,RECQL4
114,OIP5
115,NEK2
116,PRR11
117,FOXM1
118,MND1
119,POC1A
120,TROAP
121,TK1
122,STIL
123,SKA1
124,CENPA
125,PHF19
126,RACGAP1
127,CDCA7
128,PKMYT1
129,CENPH
130,KIF18B
131,BRCA1
132,GAS2L3
133,UBE2C
134,CENPL
135,AURKA
136,NCAPG2
137,WDHD1
138,GPSM2
139,KIFC1
140,ATAD5
141,FAM64A
142,XRCC2
143,BARD1
144,TRAIP
145,MELK
146,DSCC1
147,DCK
148,SPC25
149,DBF4
150,TMPO
151,FAM111B
152,FAM72D
153,B4GALNT1
154,FANCD2
155,DBF4B
156,KIF4A
157,SMC4
158,KIF20A
159,FANCA
160,PRC1
161,DSN1
162,ZWILCH
163,WHSC1
164,BLM
165,TTK
166,JADE1
167,BRCA2
168,KIF22
169,CDC6
170,CHTF18
171,RFC5
172,ZNF331
173,SKA3
174,UHRF1
175,ASPM
176,HMGB2
177,DEK
178,FAM72B
179,DEPDC1B
180,NUF2
181,GEN1
182,PLK1
183,TICRR
184,SGO1
185,CKAP2L
186,MMS22L
187,GMNN
188,PHGDH
189,MAD2L1
190,AURKB
191,TRIP13
192,KNSTRN
193,CDC45
194,HMGB1
