,0
0,RRM2
1,HMMR
2,TOP2A
3,UBE2T
4,CEP55
5,KIF4A
6,GINS1
7,ELOVL7
8,CDKN3
9,RAD51AP1
10,LMNB1
11,CDK1
12,NCAPG
13,TPX2
14,CDCA8
15,KIF18B
16,NDC80
17,MYBL2
18,DEPDC1
19,TACC3
20,CCNB1
21,NEK2
22,DLGAP5
23,CDCA3
24,UBE2C
25,FAM72D
26,ARHGAP19
27,KIF2C
28,TXNIP
29,CENPF
30,KIF20A
31,CENPA
32,KIF11
33,FAM83D
34,LTBP2
35,RACGAP1
36,KPNA2
37,RNF150
38,KRT15
39,ASF1B
40,TRIP13
41,CDCA5
42,NUF2
43,TTK
44,SPAG5
45,FOXM1
46,CCNA2
47,PDLIM3
48,KIF15
49,HJURP
50,UHRF1
51,PBK
52,ASPM
53,KIF14
54,BUB1B
55,CENPE
56,HMGB3
57,CDC20
58,FANCI
59,BLM
60,FAM64A
61,GAS2L3
62,MAD2L1
63,AFAP1L2
64,AURKA
65,ANLN
66,MELK
67,FOS
68,PRC1
69,OIP5
70,ACTA2
