,0
0,UBE2C
1,ZWILCH
2,TUBB4B
3,PLEKHF2
4,PTTG1
5,XBP1
6,YPEL5
7,TUBA1B
8,S100A11
9,ARL6IP1
10,RHOC
11,NPNT
12,UCP2
13,ATP1B1
14,FKBP4
15,PIK3R3
16,DEK
17,TMEM59
18,CTSD
19,SELENBP1
20,RBL2
21,TUBB
22,SDCBP
23,HERPUD1
24,SLC25A5
25,ESR1
26,DDX39A
27,CDKN3
28,NCOA3
29,FXYD3
30,BTG1
31,TUBA1C
32,VMP1
33,GREB1
34,HSPB1
35,TMEM150C
36,GRN
37,CD24
38,FBP1
39,KIAA0101
40,KRT8
41,PKIB
42,BAMBI
43,MLPH
44,TXNIP
45,SYTL2
46,TMC4
47,HSPB8
48,ACSL3
49,UBE2T
50,TFF1
51,SAT1
52,MYO6
53,CSTA
54,GSTM3
55,HNRNPAB
56,TSKU
57,SOCS2
58,XPOT
59,ZNF217
60,ILF2
61,CDC20
62,HIST1H2AC
63,PRSS23
64,RPL22L1
65,RRM2
66,LXN
67,CKS1B
68,KYNU
69,RNASEH2A
70,ANXA9
71,SIAH2
72,ADIRF
73,FAM107B
