,0
0,TMEM167B
1,CCNT1
2,ZFC3H1
3,SNHG1
4,NME1
5,GLYCTK
6,SMG5
7,SIRT7
8,CTDSPL2
9,KPNA5
10,FDPS
11,GANAB
12,NOL11
13,RBM39
14,PRKAB2
15,HSPA5
16,LOC285540
17,VPS29
18,TACO1
19,RPL10A
20,C15ORF33
21,C21ORF33
22,MED18
23,THAP1
24,MIR3191
25,HIST1H2BC
26,ZMAT2
27,COQ3
28,NDUFAF1
29,NAA50
30,URGCP
31,ARL5A
32,SPCS2
33,NFE2L2
34,IDI1
35,MGEA5
36,DPH5
37,AGGF1
38,RPS13
39,KANSL2
40,SYCE2
41,RARS
42,LOC645513
43,GSTCD
44,DCK
45,KDM3A
46,MIR4651
47,SEPT7
48,MRPL44
49,STX16
50,SEC31A
51,HIST3H2A
52,ZNF335
53,HARS
54,METTL19
55,BOD1L
56,PAF1
57,SLC38A2
58,SART1
59,TRIAP1
60,KIAA1919
61,NR2C1
62,SRGN
63,CYCS
64,MTR
65,DPY19L4
66,SDHAP3
67,STXBP3
68,TMEM128
69,TSNAX
70,DUS1L
71,HIST1H2BJ
72,LOC100288432
73,RPSA
74,RBM43
75,MIR632
76,ATR
77,STK16
78,MAPKBP1
79,ASH2L
80,STAT1
81,SKAP2
82,NEK10
83,C9ORF43
84,RGS14
85,IL2RB
86,GTF2H3
87,SUGT1
88,PAFAH1B2
89,GARS
90,COG8
91,PPP1R12A
92,CYB5R4
93,CDK12
94,CYBASC3
95,POMP
96,LYPLA2
97,MGAT1
98,GPS2
99,OGT
100,COASY
101,GHITM
102,NOLC1
103,C4ORF29
104,CLEC17A
105,FAF1
106,MAPK1IP1L
107,PMCH
108,PAM16
109,PWWP2A
110,MRPS24
111,GOT2
112,ORC3
113,NFKBIA
114,SNX19
115,UQCRH
116,METTL1
117,NUSAP1
118,PIGV
119,AMD1
120,PWP2
121,PA2G4
122,HIST1H2AD
123,SEPSECS
124,MRTO4
125,ESYT2
126,ATAD2B
127,MIR1292
128,KLHL12
129,TAB1
130,RPL38
131,LOC100507250
132,DDX18
133,PEX19
134,MFN2
135,SRRM2
136,XPO1
137,DOK3
138,RHOT2
139,POLD4
140,NUP214
141,TAF2
142,THAP9
143,MRPL24
144,NGLY1
145,TARS
146,STX16-NPEPL1
147,BSDC1
148,VAMP1
149,FBXW9
150,LMNB1
151,POLR2L
152,PGAM5
153,ECI1
154,HERC1
155,DEF6
156,C7ORF11
157,THRAP3
158,SMARCC1
159,ADSS
160,EIF3M
161,CDK13
162,PBXIP1
163,TMEM42
164,CTNNB1
165,NLE1
166,LOC100507495
167,PHF23
168,CEP170
169,TOP3B
170,BLOC1S1-RDH5
171,PNN
172,JPX
173,ZNF432
174,SLC1A4
175,LOC100506866
176,EXOSC9
177,DDX20
178,SNRPD2
179,ERI2
180,MRPS18C
181,ADHFE1
182,N4BP2L2
183,SCIMP
184,C5ORF39
185,ELL3
186,RSRC2
187,HELQ
188,FLJ40852
189,RPL18
190,DSTYK
191,CGREF1
192,TPRKB
193,RABGGTB
194,RAB5B
195,NUDT9
196,EXOSC6
197,THOC1
198,GFER
199,RFC2
200,APRT
201,TM2D3
202,UNC45A
203,TYSND1
204,MIRLET7I
205,RPRD1A
206,VPS33A
207,PLEKHM3
208,PDE4A
209,RNF167
210,EIF5A
211,JAK3
212,ACCS
213,DCAF16
214,COPS4
215,USP39
216,FDX1L
217,HN1L
218,ERP27
219,HDAC2
220,LOC100506233
221,ZNF655
222,UBA1
223,USP21
224,DAPP1
225,HSPA4
226,KLHL11
227,SNHG5
228,PALB2
229,MIR4522
230,DNAJC14
231,RBM6
232,BLNK
233,RPL13
234,RHBDD3
235,NCOA3
236,LYSMD1
237,TRAPPC12
238,CYTIP
239,NUP43
240,TSNAX-DISC1
241,UCHL5
242,GADD45GIP1
243,PPIB
244,RARS2
245,PSMD3
246,CXXC4
247,RANBP6
248,TRA2A
249,AKR1A1
250,C3ORF19
251,NR1H2
252,SUPT16H
253,KIAA0748
254,POLE4
