,0
0,RRM2
1,DDIT4
2,RPS25
3,IFITM3
4,FABP5
5,NCOA4
6,SETP4
7,TCEAL4
8,IFIT1
9,DSP
10,GNG10
11,CDKN3
12,TUBB6
13,KYNU
14,AGR2
15,DYNLT3
16,IARS
17,ARNT2
18,NOLC1
19,DPM1
20,SLC35A1
21,SLIRP
22,IGFBP4
23,DNAJA1
24,SSB
25,EEF2
26,NSA2
27,CCNG1
28,SLC38A1
29,NDUFB1
30,TFAP2C
31,TIMM10
32,EMG1
33,MRPS17
34,ATP1B1
35,CCDC53
36,HIST1H1C
37,LDOC1
38,CDH3
39,LXN
40,CHMP5
41,NDUFS3
42,PRKRIR
43,ATP6V1A
44,PTPLA
45,SDCBP
46,UBE2M
47,HAT1
48,C6ORF211
49,MAD2L1
50,TAF9
51,KRT19
52,LYPLA1
53,HSPB8
54,MRPL15
55,SUMO1
