,0
0,OSR1
1,SLIT2
2,GHR
3,INHBB
4,JAM2
5,CCL14
6,FOSB
7,TMEM100
8,MATN2
9,SHE
10,SASH1
11,SRPX
12,HLF
13,PCOLCE2
14,FHL1
15,APOD
16,GPX3
17,ELOVL7
18,ENPP2
19,FAM107A
20,DPYSL2
21,CTSG
22,MT1M
23,ABCA9
24,MAMDC2
25,CYYR1
26,PPARG
27,RBP7
28,RERGL
29,MEOX1
30,GABRE
31,C16ORF89
32,PI15
33,SDPR
34,DLK1
35,TM4SF18
36,FABP4
37,PRIMA1
38,C2ORF40
39,KRT14
40,LIFR
41,EGR3
42,MRC1
43,ADH1B
44,SH3BGRL2
45,SYNM
46,PPL
47,LYVE1
48,EMCN
49,AKR1C3
50,ID1
51,TGFBR3
52,PON3
53,LRRN4CL
54,AOC3
55,PTGDS
56,LPL
57,PROS1
58,FIGF
59,GPC3
60,ITGA7
61,FMO2
62,CLEC3B
63,AMOTL2
64,TNXB
65,ITM2A
66,CCL21
67,TSPAN7
68,NR3C2
69,IL33
70,CDO1
71,SPRY2
72,ABCA6
73,RELN
74,HBB
75,CHRDL1
76,RASD1
77,CFD
78,WIF1
79,PPAP2B
80,EBF1
81,CRIM1
82,PDLIM1
83,ADIPOQ
84,GPIHBP1
85,OLFML2A
86,IGSF10
87,SFRP1
88,FOS
89,PTGS2
90,SCN4B
91,FAM189A2
92,SEMA3G
93,ADH1C
94,SCARA5
95,PENK
96,SLC7A3
97,CAPN6
98,COL6A6
99,KLHL13
100,ZBTB16
101,ADAMTS1
102,PDE2A
103,IL17RD
104,ANKRD29
105,TAC1
106,LHFP
107,HYMAI
108,NRN1
109,ACKR1
110,KLF4
111,CAV1
112,ANXA3
113,EGFLAM
114,ITIH5
115,PAMR1
116,CLDN5
117,PLAGL1
118,CD34
