,0
0,SQRDL
1,YPEL5
2,CXCL12
3,ITGAV
4,SIDT2
5,GTF2IP1
6,ELF5
7,ATP1B1
8,SLC6A14
9,SLC46A3
10,ABAT
11,AGR2
12,SDCBP
13,RBBP8
14,HSPA8
15,PTP4A1
16,CCNG2
17,TSC22D3
18,FNBP1L
19,MICU2
20,DHCR24
21,MXI1
22,PRR5-ARHGAP8
23,BIRC2
24,TFAP2C
25,HOXC6
26,SGK1
27,NDRG1
28,ASAH1
29,GATA3
30,BAMBI
31,MLPH
32,CHST15
33,SEH1L
34,TFF1
35,TM2D3
36,HERC2P9
37,HIST2H2BE
38,IER3
39,BCL6
40,CEBPB
41,CSTA
42,OAT
43,STC2
44,PIK3R1
45,CARKD
46,PDZK1
47,ZFP36L2
48,IARS
49,HIST1H2AC
50,EGR3
51,KLHDC2
52,ATP9A
53,KIAA1598
54,IGLV1-44
55,NPM1
56,ALDH9A1
57,MAGED2
58,HSPH1
