,0
0,CXCL12
1,KLF4
2,MYH11
3,DCN
4,EGR1
5,SLC39A6
6,ERBB4
7,SCUBE2
8,AGR2
9,SPRY2
10,WIF1
11,WLS
12,DLK1
13,NR4A2
14,PROL1
15,FMOD
16,DHCR24
17,IRS1
18,FOXC1
19,STC1
20,ACTA2
21,ARL4A
22,OXTR
23,CIRBP
24,FOSB
25,PIP
26,LTF
27,RNASE4
28,LOC100272216
29,GATA3
30,COL4A5
31,PDGFD
32,TCN1
33,FOS
34,MYO5C
35,TSPAN8
36,ALCAM
37,PDLIM1
38,VAV3
39,MLPH
40,BHLHE40
41,KIT
42,C8ORF4
43,TFF1
44,DNAJC12
45,EGR2
46,APOD
47,EFHD1
48,CYR61
49,AZGP1
50,GSTM3
51,STC2
52,PIK3R1
53,SPARCL1
54,PDZK1
55,SOCS2
56,LYZ
57,EGR3
58,EGF
59,BBOX1
60,KRT15
61,ANXA1
62,SCGB2A2
63,C14ORF132
64,SAA2
65,GEM
66,ZFP36
67,DHRS2
68,TBC1D9
69,KRT14
70,AMIGO2
