,0
0,SLC12A2
1,SLC19A2
2,DOK7
3,SLC9A3R1
4,CBFA2T3
5,NRIP1
6,PRR5-ARHGAP8
7,SGK1
8,MYC
9,PKIB
10,IGFBP4
11,MGME1
12,RAPGEFL1
13,RAB26
14,EGR3
15,RAB27B
16,S1PR3
17,BCAS3
18,AREG
19,SETP4
20,PPIF
21,WDR12
22,LIMA1
23,LONRF2
24,SIDT2
25,PUS1
26,NAB2
27,NTN4
28,CERK
29,MXI1
30,HEY2
31,MREG
32,TMEM150C
33,HILPDA
34,PISD
35,BIK
36,CEBPB
37,CCND1
38,TNS3
39,FFAR2
40,GADD45A
41,PRSS23
42,TARP
43,FHL2
44,SGOL2
45,EFNA1
46,MAP4K3
47,CXCL12
48,FANCL
49,NEAT1
50,TIPARP
51,SLC22A5
52,GRHL3
53,CISH
54,NBPF4
55,RND3
56,NECAB1
57,PPM1K
58,RARA
59,PRSS8
60,HSPB8
61,SLC7A5
62,PPAP2C
63,CELSR2
64,SGCG
65,GRB14
66,EPB41L5
67,FJX1
68,MED13L
69,RERG
70,CYP1A1
71,CGN
72,RBM24
73,CAP2
74,KITLG
75,ELF5
76,CORO2A
77,KMO
78,RBBP8
79,FAM83B
80,AIM1
81,ZBTB41
82,GREB1
83,SOX2
84,CALR
85,GEMIN5
86,MLPH
87,ACSL3
88,PPL
89,TUFT1
90,C4ORF19
91,ADCY9
92,PDZK1
93,CA12
94,SLC26A2
95,FREM2
96,TMPRSS3
97,ST3GAL1
98,TMTC2
99,FHL1
100,SIAH2
