,0
0,PLEKHF2
1,GTF2IP1
2,SLC12A2
3,CDKN1B
4,FKBP4
5,IRF2BPL
6,ADM
7,RBL2
8,AGR2
9,SDCBP
10,FOXA1
11,HSPA8
12,PTP4A1
13,SNHG1
14,TOP2B
15,SLC9A3R1
16,PLK2
17,PNPT1
18,C4ORF3
19,NRIP1
20,MRFAP1L1
21,CCDC53
22,HEBP1
23,MRPS23
24,NPM3
25,GRPEL1
26,SMIM14
27,PKIB
28,IGFBP4
29,KRT18
30,SAT1
31,FAM84B
32,EGR3
33,RAB27B
34,RPL22L1
35,FAM174A
36,BCAS3
37,SH3BGRL
38,PNRC1
39,SETP4
40,PPIF
41,HSP90AB1
42,NPM1
43,HSPH1
44,TUBB6
45,ABCE1
46,EMG1
47,NOLC1
48,NME1
49,PIK3R3
50,DTX3L
51,SELENBP1
52,C17ORF58
53,PFDN2
54,CLU
55,NTN4
56,BTG1
57,IMP4
58,ZG16B
59,MANSC1
60,SNHG16
61,MREG
62,SERINC1
63,TMEM150C
64,ASAH1
65,GATA3
66,HILPDA
67,WSB2
68,SYTL2
69,DKC1
70,TMEM30A
71,HIST1H1C
72,CEBPB
73,TPD52L1
74,TSKU
75,MOAP1
76,TCEAL1
77,PRSS23
78,SUMF1
79,TSTD1
80,LXN
81,EPS8
82,RFX5
83,LRP11
84,EFNA1
85,YPEL5
86,MB
87,RUVBL1
88,RPF2
89,ATP1B1
90,DANCR
91,DDX21
92,DHCR24
93,PA2G4
94,LITAF
95,VMP1
96,RFTN1
97,UBL3
98,FBP1
99,AHSA1
100,PPM1K
101,TMEM106C
102,HSPB8
103,SLC7A5
104,VAMP8
105,C1QBP
106,HIST2H2BE
107,CELSR2
108,SGCG
109,GRB14
110,MYO6
111,CSTA
112,IARS
113,HIST1H2AC
114,IER5
115,KLHDC2
116,KYNU
117,RBM24
118,TMBIM4
119,CCNG2
120,RNF11
121,ITGAV
122,CTSD
123,ABAT
124,GREB1
125,ASS1
126,HSPA5
127,TFAP2C
128,PNP
129,BAMBI
130,GEMIN5
131,MRPS17
132,MLPH
133,TXNIP
134,S100P
135,ACSL3
136,TFF1
137,TUFT1
138,CRELD2
139,SCP2
140,GPR160
141,CA12
142,ZFP36L2
143,SLC3A2
144,SLC26A2
145,SRM
146,ATP9A
147,FABP5
148,SLC35A1
149,SIAH2
