,0
0,DDIT4
1,CXCL12
2,BRIP1
3,WDR12
4,RBM24
5,PKIB
6,UBE2T
7,SETP4
8,FAM107B
9,RAB31
10,HIF1A
11,MREG
12,GLA
13,SEMA3C
14,S1PR3
15,NRIP1
16,EGR3
17,NPY1R
18,STIP1
19,FDFT1
20,CELSR2
21,SIAH2
22,CEBPB
23,SLC19A2
24,SGCG
25,HILPDA
26,KLF10
27,DYNLT3
28,GREB1
29,PRSS23
30,TMEM150C
31,NTN4
32,CCND1
33,TMEM64
34,UGDH
35,PPL
36,ARF6
37,DDX5
38,MLPH
39,NOC3L
40,TPBG
41,SEPP1
42,ARMCX6
43,SOCS2
44,PGR
45,SLC26A2
46,IGFBP4
47,LOC93622
48,CA12
49,PPIF
50,BCAS3
51,AMD1
52,PLOD2
53,SYTL5
54,ACSL3
55,HIST1H4C
56,GEMIN5
57,MYOF
58,SLC12A2
59,SLC38A2
60,GRB14
61,SLC9A3R1
62,EFNA1
63,ID1
64,SLC7A5
65,HSPB8
66,ALYREF
67,CXXC5
68,RET
