,0
0,MB
1,H1F0
2,HSP90B1
3,SNHG1
4,NME1
5,NOL11
6,EGR3
7,RAB10
8,TOP2B
9,CLU
10,TMEM64
11,GTF2IP1
12,IER5
13,RPS13
14,RARS
15,ADIRF
16,PRDX1
17,LDOC1
18,EIF3CL
19,SLC38A2
20,RPL39
21,SUMO2
22,CYCS
23,NPTN
24,ISOC1
25,SUMO1
26,HLA-A
27,FKBP4
28,NCOA4
29,ABCE1
30,DHX40
31,PHB
32,ITM2B
33,MRPL16
34,PHB2
35,SNRPG
36,BOLA3
37,TUBB
38,TXNIP
39,DYNLT3
40,COA4
41,ADRM1
42,SYTL2
43,MRPS24
44,DNAJA1
45,FAM96B
46,UQCRH
47,DRG1
48,PA2G4
49,SF3B5
50,FOXA1
51,MT2A
52,RRM2
53,SCP2
54,TMBIM4
55,ATP9A
56,DNAJC1
57,USP32P2
58,TACSTD2
59,PPP3CA
60,SLC25A5
61,DPM1
62,PTPLAD1
63,APPBP2
64,SNRPD2
65,TM9SF2
66,RPL17
67,CA12
68,ATP1B1
69,CDH3
70,SERF2
71,SERPINA3
72,OSBPL9
73,LYPLA1
74,HSPB8
75,TUFT1
76,MAPK6
77,SMIM15
78,TUBB4B
79,NPY1R
80,CELSR2
81,TRIM37
82,SUMF1
83,DTX3L
84,UBE2C
85,NCOA3
86,AGR2
87,HSPH1
88,PPIB
89,RNASEH2A
90,ARNT2
91,TPBG
92,ZG16B
93,NHP2
94,DKK1
95,TSKU
96,IRF2BPL
97,ZNF217
98,GBAS
99,EMG1
100,SYTL5
101,EIF4A1
102,ACSL3
103,CD63
104,CSTA
105,MRPL3
106,SELT
107,MRPL15
108,DCTPP1
109,ID3
110,DDR1
111,NPM1
112,RAB31
113,FBL
114,TCEAL1
115,NDUFA4
116,TUBB3
117,BTG1
118,TMEM106C
119,IARS
120,NOP58
121,PTTG1
122,C20ORF24
123,CCT3
124,CSDE1
125,CMC2
126,CREG1
127,ILF2
128,CCDC53
129,MYO1B
130,LINC00052
131,CCT6A
132,EFNA1
133,COMT
134,SDCBP
135,SELENBP1
136,CYC1
137,SNRNP25
138,TMEM205
139,CCT2
140,NDUFB9
141,KIAA1191
142,REEP5
143,ANXA2P2
144,S100A9
145,PSMD12
146,PMP22
147,PRELID1
148,HILPDA
149,GREB1
150,DDX39A
151,MLPH
152,SLIRP
153,RAN
154,TUBA1B
155,IMP4
156,PSMD8
