,0
0,ADIPOQ
1,FCGBP
2,LOC100507239
3,LMNB1
4,FAM189A2
5,KRT81
6,SCUBE2
7,KIF2C
8,FOXA1
9,ADHFE1
10,CDC7
11,NR4A2
12,TFPI2
13,TSPAN1
14,S100A1
15,ARL4A
16,KPNA2
17,ANO1
18,EFEMP1
19,PCDHB5
20,ADAMTS5
21,ECI2
22,SERPINB2
23,SEMA5A
24,SLIT2
25,ABLIM3
26,MX1
27,DNER
28,AREG
29,GALNT6
30,HSD17B8
31,COL11A1
32,APCDD1
33,FAM110C
34,FXYD1
35,MIR100HG
36,KRT14
37,PLIN4
38,CDH1
39,NR2F1
40,OGN
41,PELI2
42,ERBB4
43,CFD
44,ITIH2
45,WIF1
46,CMYA5
47,NTN4
48,CPLX1
49,CPXM1
50,ACTA2
51,CAPN8
52,CIRBP
53,NGFR
54,CYP4X1
55,LOC100131564
56,CTHRC1
57,TRIL
58,MFAP4
59,ALDH3B2
60,DPT
61,EFHD1
62,CENPW
63,SHCBP1
64,ART3
65,CCL28
66,FHL2
67,TBC1D9
68,HEPACAM2
69,MST1
70,LYVE1
71,CXCL12
72,TMTC1
73,RNF182
74,CALML3
75,ADAMDEC1
76,FAM19A5
77,COX7A1
78,NDNF
79,DHCR24
80,GPR124
81,NCAPD2
82,CCL20
83,UGT2B28
84,C1ORF64
85,PDGFD
86,ALCAM
87,OLFML1
88,ACSM3
89,PSRC1
90,CTPS1
91,GJB2
92,SIX3
93,MIR205HG
94,AQP1
95,CDO1
96,LOC100134361
97,"LOC100505614
"
98,GRAMD3
99,LEMD1
100,EGF
101,PENK
102,RASD2
103,CYP2B6
104,KIF14
105,SAMD5
106,LOC100131993
107,TRIM68
108,PTTG1
109,RNF39
110,FAM72D
111,COL15A1
112,RASSF6
113,PTGDS
114,MAPT
115,ZNF662
116,BMP4
117,SOX11
118,PLSCR4
119,MYOF
120,LAMB2
121,CNN1
122,LOC100272216
123,XDH
124,NCAPG
125,CENPF
126,NUF2
127,TNFSF4
128,TRIP13
129,TGFBR3
130,ANG
131,COL2A1
132,CXCL9
133,NUSAP1
134,CES1
135,INHBA
136,PDZK1
137,NAT1
138,LOC100286909
139,DTL
140,CDC20
141,MCM2
142,MKI67
143,RRM2
144,BCL11A
145,FHL1
146,DHRS2
147,ZNF367
148,MEOX1
149,ENPP2
150,FNDC1
151,SHC4
152,P4HTM
153,LMOD1
154,FGF1
155,ZWINT
156,PGBD5
157,UGT8
158,RPL39L
159,FOXC1
160,INMT
161,LOC100131541
162,SCGB3A1
163,TCN1
164,TSPAN8
165,PDLIM1
166,KRT18
167,KIF15
168,PPP1R14C
169,TENC1
170,CXCL10
171,DUSP4
172,PIK3R1
173,SOCS2
174,FBLN5
175,PREX1
176,CFH
177,FANCI
178,SCGB1D2
179,TCEAL7
180,QPCT
181,KIF13B
182,ANLN
183,ZWILCH
184,ANKRD30A
185,KLF4
186,GSTM2
187,CDCA5
188,MEIS2
189,C2ORF40
190,CDCA3
191,MELK
192,TMEM158
193,BUB1B
194,STAC2
195,IGFBP6
196,GPX3
197,ZG16B
198,GHR
199,EPRS
200,LAMB3
201,FOS
202,FCGR1B
203,VAV3
204,SYTL2
205,IRX1
206,BHLHE40
207,ASF1B
208,PPAP2B
209,MUCL1
210,GLT8D2
211,PTPRT
212,ITIH5
213,CEP55
214,KRT15
215,COL9A3
216,PGR
217,RMI2
218,CD34
219,UHRF1
220,SEMA3C
221,HCAR3
222,TRIM59
223,DCN
224,CLDN11
225,HLF
226,MAOA
227,PRC1
228,SOX8
229,SPRY2
230,PTN
231,DUSP6
232,ITM2A
233,AOC3
234,TPX2
235,CDCA7
236,CX3CL1
237,KHDRBS3
238,IGJ
239,FOSB
240,TEAD4
241,MYO5C
242,GPD1L
243,NME5
244,SLC7A5
245,CDCA8
246,RPS16P5
247,GRB14
248,EN1
249,SIDT1
250,CLCA2
251,C16ORF89
252,C9ORF152
253,S100A7
254,IGFBP2
255,RERG
256,SCGB2A2
257,LTBP2
258,HBA1
259,CCDC74A
260,NOSTRIN
261,STEAP2
262,AMIGO2
263,CKS2
264,PRSS33
265,ZBTB16
266,TSPAN7
267,TAGLN
268,SDPR
269,HORMAD1
270,ITGA3
271,CHRDL1
272,GSTM5
273,EBF1
274,LOC100505730
275,PSAT1
276,ACKR1
277,BLM
278,SERTAD3
279,FIGF
280,KDELR3
281,PLIN1
282,DNALI1
283,MLPH
284,S100P
285,SCGB2A1
286,HSD17B2
287,EPB41L4A-AS1
288,AURKA
289,OSR1
290,SYBU
291,CMPK2
292,ACTR3B
293,MFAP2
294,CA12
295,TCAM1P
296,ASPM
297,ACCS
298,XIST
299,SLC7A3
300,SERHL2
301,OLFML2A
302,FABP5
303,BBOX1
304,ANXA1
305,CPE
306,C14ORF132
307,FOXM1
308,SAA2
309,SPC25
310,GPR158
311,RAD21
312,NEK2
313,ABCA6
314,FAM64A
315,DCBLD1
316,KMT2A
317,IL33
318,OLFML3
319,RAI2
320,IGF2
321,CLEC3B
322,OXTR
323,NPY1R
324,CRACR2B
325,EZH2
326,CSRNP1
327,FAM214A
328,SHE
329,LOC100507248
330,FRMD6
331,MAMDC2
332,UBE2S
333,MUC1
334,ZCCHC24
335,PON3
336,IL17B
337,CCDC109B
338,GFRA1
339,KCNMB1
340,HMGCS2
341,SLC27A3
342,RNASEH2A
343,HMMR
344,SH3BGRL2
345,LOC151878
346,AKR1B10
347,NOVA1
348,TOP2A
349,CCDC167
350,MYH11
351,KRT5
352,PHYHD1
353,INHBB
354,TLE2
355,AOX1
356,CYP4Z2P
357,STIL
358,SERHL
359,WLS
360,GPRASP1
361,TCF19
362,PAMR1
363,GPRASP2
364,PROL1
365,CALML5
366,CXCL14
367,STC1
368,EIF4EBP3
369,OVOS2
370,GGH
371,MMP1
372,KLHL13
373,C4A
374,GPIHBP1
375,NBEA
376,PLAT
377,CPB1
378,STC2
379,JAM2
380,IGF1
381,ADH1B
382,DIRAS3
383,SCRG1
384,DYNLRB2
385,ALDH1A1
386,CYP26A1
387,PBK
388,ADIRF
389,UBE2C
390,HRASLS
391,TMSB15A
392,CDK1
393,CBX7
394,FAM13B
395,CTSG
396,BCL2A1
397,NEAT1
398,AMT
399,MMP9
400,CDKN3
401,HBB
402,E2F3
403,TACC3
404,EGFLAM
405,FTO
406,SERPING1
407,PTH2R
408,FMO1
409,BORA
410,CYR61
411,MMP13
412,PRAME
413,ORC6
414,GSTM1
415,FABP4
416,APOBEC3B
417,TSHZ2
418,KLRG2
